Site_ID,Name,Account_ID,Capacity_kWp,City,Latitude,Longitude,Installation_Date,Portal,Account_Name,Is_Active
4510135,(רכבת ישראל - חיפה קישון - מבנה חוגונים (מחסן ג,83087,197.64,Haifa,32.8110324,35.0521559,01/12/2024,SolarEdge,,1
184030,0285 - Doral - Usha - Dining room,150154,60.9,Usha,32.796458,35.114584,12/11/2015,SolarEdge,,1
1122942,0336 - DM - Kfar Hamaccabi - Factory Tomer,150154,74.2,Kfar HaMaccabi,32.791804,35.114793,23/05/2019,SolarEdge,,1
2058323,0460 - Doral - Ohlo Hotel,150154,139.32,kinnert,32.71585018,35.57297908,26/01/2021,SolarEdge,,1
2894805,100Kw רמת הנדיב - מערכת,83087,64.4,Zikhron Ya'akov,32.5532695,34.945064,15/05/2022,SolarEdge,,1
3704338,10Kw רמת הנדיב - מערכת,83087,10,Zikhron Ya'akov,32.5540846,34.9447672,05/06/2023,SolarEdge,,1
4632517,A בת ים - בית ספר דרכא,83087,158.67,Bat Yam,32.01217,34.7490827,26/05/2025,SolarEdge,,1
537509,Amirim,361643,633.88,פתח תקווה,32.0692594,34.9166146,01/09/2017,SolarEdge,,0
4632631,B בת ים - בית ספר דרכא,83087,158.67,Bat Yam,32.01217,34.7490827,26/05/2025,SolarEdge,,1
955843,Dorot TS1,83087,3492.72,Dorot,31.507207,34.645725,01/01/2019,SolarEdge,,0
955840,Dorot TS2,83087,3492.72,Dorot,31.507207,34.645725,01/01/2019,SolarEdge,,0
955328,Dorot TS3,83087,3367.98,Dorot,31.507207,34.645725,31/12/2018,SolarEdge,,0
955319,Dorot TS4,83087,3492.72,Dorot,31.507207,34.645725,31/12/2018,SolarEdge,,0
3805994,Eden - Amital,83087,137.67,ירושלים,31.720945,35.223053,19/07/2023,SolarEdge,,1
3991306,Eden - Bresler,83087,124.3,Jerusalem,31.7557997,35.165682,25/10/2023,SolarEdge,,1
3417229,Eden - Eretz Moriah School,83087,73.03,Jerusalem,31.7226104,35.2271919,31/01/2023,SolarEdge,,1
2883620,Eden - Himelferb - sport hall,83087,75.33,Jerusalem,31.7670665,35.1811179,09/05/2022,SolarEdge,,1
2941719,Eden - Himelferb North,83087,53.69,Jerusalem,31.7670665,35.1811179,09/06/2022,SolarEdge,,1
2941743,Eden - Himelferb South,83087,140.14,Jerusalem,31.7667253,35.1806584,09/06/2022,SolarEdge,,1
3827219,Eden - Horev School,83087,158.59,Jerusalem,31.7653072,35.2120399,31/07/2023,SolarEdge,,1
3907223,Eden - Leon Fishman Center,83087,110,Jerusalem,31.8150431,35.1951692,12/09/2023,SolarEdge,,1
3845077,Eden - Omanuiot,83087,58.3,Jerusalem,31.7697259,35.2214742,10/08/2023,SolarEdge,,1
3806146,Eden - Uziel,83087,104.64,Jerusalem,31.7800817,35.2097218,20/07/2023,SolarEdge,,1
802874,Kramim East - Inverters 27 to 55,83087,2995.08,Kramim,31.333464,34.917879,09/08/2018,SolarEdge,,0
802873,Kramim West - Inverters 01 to 26,83087,2744.94,Kramim,31.333464,34.917879,09/08/2018,SolarEdge,,0
4247329,Natbag - Dining Room,83087,258.72,Natbag,32.0004465,34.8706095,01/05/2024,SolarEdge,,1
4247331,Natbag - F44 - מבנה 44,83087,454.72,Lod,32.0004465,34.8706095,01/05/2024,SolarEdge,,1
1406470,Natbag - PS-22 - מבנה 22,83087,1395.03,לוד,32.005532,34.8854112,08/12/2019,SolarEdge,,1
1667735,Natbag - PS-55 - מבנה 5,83087,572.32,לוד,32.005532,34.8854112,01/06/2020,SolarEdge,,1
1406920,Natbag - PS-C - מגדל פיקוח,83087,446.76,לוד,32.005532,34.8854112,08/12/2019,SolarEdge,,1
1406466,Natbag - PS-East - מבנה שירותים מזרח,83087,1452.7,לוד,32.005532,34.8854112,08/12/2019,SolarEdge,,1
818164,Revivim 1 - Inverters 01 to 25,83087,2939.64,Revivim,31.045195,34.721086,26/08/2018,SolarEdge,,0
818162,Revivim 2 - Inverters 26 to 50,83087,3014.22,Revivim,31.045195,34.721086,26/08/2018,SolarEdge,,0
818163,Revivim 3 - Inverters 51 to 75,83087,2957.46,Revivim,31.045195,34.721086,26/08/2018,SolarEdge,,0
818161,Revivim 4 - Inverters 76 to 100,83087,2964.06,Revivim,31.045195,34.721086,26/08/2018,SolarEdge,,0
659579,ROOF 213 - עיר הבהדים,83087,100.75,Havat MaShash,31.05866402,34.84542294,07/03/2018,SolarEdge,,0
659586,ROOF 215 - עיר הבהדים,83087,309.4,Eir Habahadim,31.05846175,34.84842462,07/03/2018,SolarEdge,,0
659596,ROOF 404 - עיר הבהדים,83087,61.1,Havat MaShash,31.05899489,34.84841969,07/03/2018,SolarEdge,,0
659604,ROOF 405 - עיר הבהדים,83087,59.475,Havat MaShash,31.05903165,34.84937456,07/03/2018,SolarEdge,,0
659610,ROOF 601 - עיר הבהדים,83087,50.05,Havat MaShash,31.06064001,34.8483875,07/03/2018,SolarEdge,,0
659639,ROOF 605 A - עיר הבהדים,83087,162.825,Havat MaShash,31.05955414,34.84911502,07/03/2018,SolarEdge,,0
659645,ROOF 605 B - עיר הבהדים,83087,94.575,Havat MaShash,31.05954633,34.84972861,07/03/2018,SolarEdge,,0
659648,ROOF 605 C - עיר הבהדים,83087,61.75,Havat MaShash,31.05975771,34.84969642,07/03/2018,SolarEdge,,0
659623,ROOF 606 - עיר הבהדים,83087,93.6,Havat MaShash,31.05984962,34.84826949,07/03/2018,SolarEdge,,0
659485,ROOF 607 - עיר הבהדים,83087,260.975,Havat MaShash,31.05931597,34.85119519,07/03/2018,SolarEdge,,0
659497,ROOF 608 - עיר הבהדים,83087,476.775,Havat MaShash,31.06023563,34.85089805,07/03/2018,SolarEdge,,0
659507,ROOF 609 - עיר הבהדים,83087,360.1,Havat MaShash,31.06122494,34.85012919,07/03/2018,SolarEdge,,0
659515,ROOF 610 - עיר הבהדים,83087,173.875,Havat MaShash,31.06176125,34.8495033,07/03/2018,SolarEdge,,0
659522,ROOF 611 - עיר הבהדים,83087,203.45,Havat MaShash,31.06220831,34.8489061,07/03/2018,SolarEdge,,0
659527,ROOF 612 - עיר הבהדים,83087,99.125,Havat MaShash,31.06100763,34.8482373,07/03/2018,SolarEdge,,0
659530,ROOF 613 - עיר הבהדים,83087,76.05,Havat MaShash,31.06282867,34.84836142,07/03/2018,SolarEdge,,0
659631,ROOF 615 - עיר הבהדים,83087,403.325,Havat MaShash,31.06274462,34.84970715,07/03/2018,SolarEdge,,0
659540,ROOF 616 - עיר הבהדים,83087,317.85,Havat MaShash,31.06201858,34.850544,07/03/2018,SolarEdge,,0
659546,ROOF 618 - עיר הבהדים,83087,85.8,Havat MaShash,31.0613293,34.85126283,07/03/2018,SolarEdge,,0
659566,ROOF 619 - עיר הבהדים,83087,257.4,Israel,31.06061244,34.8517349,07/03/2018,SolarEdge,,0
835239,Talmei Yaffe - North,83087,5571.72,Talmei Yaffe,31.616857,34.612482,11/09/2018,SolarEdge,,0
834451,Talmei Yaffe - South,83087,5502.42,Talmei Yaffe,31.616709,34.612439,11/09/2018,SolarEdge,,0
2824038,Yehuda Steel MicroMill,83087,298.08,Ashdod,31.83869115,34.68180066,01/04/2022,SolarEdge,,1
967447,אוטומטיקה - מערכת סולארית,83087,112.48,Kefar Sava,32.1614979,34.9352554,16/01/2019,SolarEdge,,1
4564112,אולמי ויטראז - נס ציונה,83087,191.54,Ness Ziona,31.9307268,34.7978124,01/03/2025,SolarEdge,,1
4517637,איי או לוגיק - פארק בר-לב - מערכת סולארית,83087,98.21,פארק תעשיות בר-לב,32.90041749,35.19817126,13/01/2025,SolarEdge,,1
4685644,איילון ביטוח - בת ים,83087,66.42,Bat Yam,32.0138666,34.7497904,29/07/2025,SolarEdge,,1
4680451,איילון ביטוח - חיפה,83087,62.115,Haifa,32.83121828,34.97859139,22/07/2025,SolarEdge,,1
4664391,איילון ביטוח - קרית מוצקין,83087,71.34,Kiryat Motzkin,32.8262028,35.0758425,02/07/2025,SolarEdge,,1
1102725,אלומלייט - מבנה משרדים,83087,140,Ramat Menashe,32.6169161,35.0753714,08/05/2019,SolarEdge,,1
4434370,אלפר את מאייר - נס ציונה,83087,65.88,Ness Ziona,31.9236391,34.8017376,01/10/2024,SolarEdge,,1
2626119,אמות - באר שבע - גג 1 - בבכום,83087,146.88,Be'er Sheva,31.2171072,34.8110436,01/12/2021,SolarEdge,,1
2626123,אמות - באר שבע - גג 1 - הפיראט האדום,83087,146.88,Be'er Sheva,31.2171072,34.8110436,01/01/2023,SolarEdge,,1
2626125,אמות - באר שבע - גג 1 - כתר פלסטיק,83087,97.2,Be'er Sheva,31.2171072,34.8110436,01/12/2021,SolarEdge,,1
2626117,אמות - באר שבע - גג 1 - ציבורי,83087,293.76,Be'er Sheva,31.2171072,34.8110436,01/12/2021,SolarEdge,,1
2626130,אמות - באר שבע - גג 2 - פרחי השוקולד,83087,139.32,Be'er Sheva,31.2447522,34.8125661,01/12/2021,SolarEdge,,1
2626128,אמות - באר שבע - גג 2 - ציבורי,83087,281.88,Be'er Sheva,31.2171072,34.8110436,01/12/2021,SolarEdge,,1
3009143,אמות - באר שבע - גג 3 - מערכת 1,83087,287.28,Be'er Sheva,31.2171072,34.8110436,01/07/2022,SolarEdge,,1
3009149,אמות - באר שבע - גג 3 - מערכת 2,83087,106.92,Be'er Sheva,31.252973,34.791462,01/07/2022,SolarEdge,,1
2626131,אמות - באר שבע - גג 4,83087,36.72,Be'er Sheva,31.2171072,34.8110436,01/12/2021,SolarEdge,,1
4066564,אמות - כרמיאל - מקס סטוק מיי סנטר,83087,144.97,Karmiel,32.9268521,35.3259633,01/06/2024,SolarEdge,,1
4706568,אמות - צריפין - פליינג קרגו,83087,699.87,ראשון לציון,31.9638968,34.8490469,25/08/2025,SolarEdge,,1
4890419,אמות b+c,83087,200,ראש העין,32.10724411,34.96929007,04/06/2026,SolarEdge,,1
1581024,אשדוד - בהס אופק,83087,88.695,Ashdod,31.7761809,34.6377782,01/04/2020,SolarEdge,,1
1584105,אשדוד - בהס אורות - דרום,83087,44.55,Ashdod,31.7761292,34.6376501,01/04/2020,SolarEdge,,1
1581047,אשדוד - בהס אורות - מרכזי,83087,44.145,Ashdod,31.7761809,34.6377782,01/04/2020,SolarEdge,,1
1584104,אשדוד - בהס אורות - צפון,83087,44.145,Ashdod,31.7761809,34.6377782,01/04/2020,SolarEdge,,1
1588894,אשדוד - בהס אמירים,83087,90.72,Ashdod,31.7796764,34.6490852,01/04/2020,SolarEdge,,1
4657513,אשדוד - בהס אמית,83087,93.22,Ashdod,31.8056781,34.6599133,25/06/2025,SolarEdge,,1
4682845,אשדוד - בהס ארזים - PV1,83087,95.94,Ashdod,31.79752986,34.64297151,24/07/2025,SolarEdge,,1
4682846,אשדוד - בהס ארזים - PV2,277542,48.585,Ashdod,31.79752986,34.64297151,24/07/2025,SolarEdge,,1
4658492,אשדוד - בהס גוונים,83087,120.36,Ashdod,31.7704342,34.6397663,26/06/2025,SolarEdge,,1
1607840,אשדוד - בהס הקריה,83087,63.99,Ashdod,31.7902014,34.6472265,01/05/2020,SolarEdge,,1
4682842,אשדוד - בהס מקיף ג - PV1+2,277542,229.395,Ashdod,31.79789456,34.6398978,24/07/2025,SolarEdge,,1
4682844,אשדוד - בהס מקיף ג - PV3,277542,67.65,Ashdod,31.79818639,34.64025874,24/07/2025,SolarEdge,,1
2106615,אשדוד - בהס מקיף ה,83087,207.9,Ashdod,31.7887577,34.6517322,01/03/2021,SolarEdge,,1
1607780,אשדוד - בהס מקיף ט - דרום,83087,44.55,Ashdod,31.7799223,34.6357663,01/05/2020,SolarEdge,,1
1607771,אשדוד - בהס מקיף ט - מרכז,83087,44.55,Ashdod,31.7799223,34.6357663,01/05/2020,SolarEdge,,1
1607797,אשדוד - בהס מקיף ט - צפון,83087,44.55,Ashdod,31.7799223,34.6357663,01/05/2020,SolarEdge,,1
1746552,אשדוד - בהס מקיף י,83087,68.85,Ashdod,31.782637,34.6346166,01/08/2020,SolarEdge,,1
1608233,אשדוד - בהס מקיף יא - מזרח,83087,68.04,Ashdod,31.7667526,34.6310272,01/05/2020,SolarEdge,,1
1608246,אשדוד - בהס מקיף יא - צפון,83087,79.38,Ashdod,31.766591,34.6308036,01/05/2020,SolarEdge,,1
1607732,אשדוד - בהס נוף ים A,83087,74.52,Ashdod,31.780287,34.6305174,01/05/2020,SolarEdge,,1
1607759,אשדוד - בהס נוף ים B,83087,34.02,Ashdod,31.780415,34.6310229,01/05/2020,SolarEdge,,1
2106612,אשדוד - בהס צמח א,83087,162.9,Ashdod,31.7888145,34.6508088,01/01/2023,SolarEdge,,1
4108101,אשדוד - בהס צמח א - אולם ספורט,83087,44.1,Ashdod,31.78873175,34.6508699,01/01/2024,SolarEdge,,1
1639764,אשדוד - בהס קשת - דרום,83087,59.94,Ashdod,31.7812354,34.641392,01/05/2020,SolarEdge,,1
1639755,אשדוד - בהס קשת - מזרח,83087,59.94,Ashdod,31.7812354,34.641392,01/05/2020,SolarEdge,,1
1639784,אשדוד - בהס קשת - מערב,83087,45.36,Ashdod,31.7812354,34.641392,01/05/2020,SolarEdge,,1
1588867,אשדוד - בהס רבין,83087,78.975,Ashdod,31.7720366,34.6325516,01/04/2020,SolarEdge,,1
1608205,אשדוד - בהס רימונים - דרום,83087,38.88,Ashdod,31.7693194,34.6368296,01/05/2020,SolarEdge,,1
1608162,אשדוד - בהס רימונים - מרכז,83087,27.54,Ashdod,31.7693194,34.6368296,01/05/2020,SolarEdge,,1
1608184,אשדוד - בהס רימונים - צפון,83087,26.73,Ashdod,31.7693194,34.6368296,01/05/2020,SolarEdge,,1
2106628,אשדוד - בהס רננים,83087,94.05,Ashdod,31.7959158,34.6462867,01/03/2021,SolarEdge,,1
1635804,אשדוד - בהס רתמים - דרום,83087,37.26,Ashdod,31.7763406,34.6476675,27/05/2020,SolarEdge,,1
1635878,אשדוד - בהס רתמים - מזרח,83087,22.68,Ashdod,31.7767432,34.6476809,27/05/2020,SolarEdge,,1
1639746,אשדוד - בהס רתמים - מערב,83087,22.68,Ashdod,31.7765054,34.6473685,01/05/2020,SolarEdge,,1
4658348,אשדוד - בהס שחקים,83087,112.1,Ashdod,31.7742095,34.6302446,26/06/2025,SolarEdge,,1
4682851,אשדוד - בהס שחר,277542,120.54,Ashdod,31.8022534,34.6401608,24/07/2025,SolarEdge,,1
2106632,אשדוד - בהס שיקמים (תפארת נחמיה),83087,91.8,Ashdod,31.7951759,34.6558658,01/03/2021,SolarEdge,,1
1611113,אשדוד - בהס שירת הים - דרום,83087,45.36,Ashdod,31.7695502,34.6227256,01/05/2020,SolarEdge,,1
